waveform,amplitude,duration,frequency,charge_uC_per_cm2,charge_balanced,ap_fired
step,1.0,200.0,50.0,0.2,False,False
step,1.2,200.0,50.0,0.23999999999999988,False,False
step,1.4,200.0,50.0,0.2799999999999998,False,False
step,1.5999999999999999,200.0,50.0,0.3200000000000002,False,False
step,1.7999999999999998,200.0,50.0,0.35999999999999993,False,False
step,1.9999999999999998,200.0,50.0,0.39999999999999997,False,False
step,2.1999999999999997,200.0,50.0,0.4400000000000001,False,False
step,2.3999999999999995,200.0,50.0,0.4799999999999997,False,True
step,2.5999999999999996,200.0,50.0,0.5200000000000002,False,True
step,2.8,200.0,50.0,0.5599999999999996,False,True
step,2.9999999999999996,200.0,50.0,0.5999999999999999,False,True
step,3.1999999999999993,200.0,50.0,0.6400000000000003,False,True
step,3.3999999999999995,200.0,50.0,0.68,False,True
step,3.5999999999999996,200.0,50.0,0.7199999999999999,False,True
step,3.7999999999999994,200.0,50.0,0.7599999999999996,False,True
step,3.999999999999999,200.0,50.0,0.7999999999999999,False,True
step,4.199999999999999,200.0,50.0,0.8400000000000004,False,True
step,4.3999999999999995,200.0,50.0,0.8800000000000002,False,True
step,4.6,200.0,50.0,0.9199999999999997,False,True
step,4.799999999999999,200.0,50.0,0.9599999999999994,False,True
sine,1.0,200.0,50.0,0.12732395342631875,True,False
sine,1.2,200.0,50.0,0.15278874411158247,True,False
sine,1.4,200.0,50.0,0.17825353479684616,True,False
sine,1.5999999999999999,200.0,50.0,0.2037183254821099,True,True
sine,1.7999999999999998,200.0,50.0,0.22918311616737366,True,True
sine,1.9999999999999998,200.0,50.0,0.25464790685263744,True,True
sine,2.1999999999999997,200.0,50.0,0.2801126975379012,True,True
sine,2.3999999999999995,200.0,50.0,0.3055774882231649,True,True
sine,2.5999999999999996,200.0,50.0,0.3310422789084286,True,True
sine,2.8,200.0,50.0,0.3565070695936923,True,True
sine,2.9999999999999996,200.0,50.0,0.381971860278956,True,True
sine,3.1999999999999993,200.0,50.0,0.40743665096421977,True,True
sine,3.3999999999999995,200.0,50.0,0.4329014416494834,True,True
sine,3.5999999999999996,200.0,50.0,0.4583662323347473,True,True
sine,3.7999999999999994,200.0,50.0,0.4838310230200111,True,True
sine,3.999999999999999,200.0,50.0,0.5092958137052748,True,True
sine,4.199999999999999,200.0,50.0,0.5347606043905385,True,True
sine,4.3999999999999995,200.0,50.0,0.5602253950758024,True,True
sine,4.6,200.0,50.0,0.585690185761066,True,True
sine,4.799999999999999,200.0,50.0,0.6111549764463298,True,True
square,1.0,200.0,50.0,0.2,True,False
square,1.2,200.0,50.0,0.23999999999999988,True,True
square,1.4,200.0,50.0,0.2799999999999998,True,True
square,1.5999999999999999,200.0,50.0,0.3200000000000002,True,True
square,1.7999999999999998,200.0,50.0,0.35999999999999993,True,True
square,1.9999999999999998,200.0,50.0,0.39999999999999997,True,True
square,2.1999999999999997,200.0,50.0,0.4400000000000001,True,True
square,2.3999999999999995,200.0,50.0,0.4799999999999997,True,True
square,2.5999999999999996,200.0,50.0,0.5200000000000002,True,True
square,2.8,200.0,50.0,0.5599999999999996,True,True
square,2.9999999999999996,200.0,50.0,0.5999999999999999,True,True
square,3.1999999999999993,200.0,50.0,0.6400000000000003,True,True
square,3.3999999999999995,200.0,50.0,0.68,True,True
square,3.5999999999999996,200.0,50.0,0.7199999999999999,True,True
square,3.7999999999999994,200.0,50.0,0.7599999999999996,True,True
square,3.999999999999999,200.0,50.0,0.7999999999999999,True,True
square,4.199999999999999,200.0,50.0,0.8400000000000004,True,True
square,4.3999999999999995,200.0,50.0,0.8800000000000002,True,True
square,4.6,200.0,50.0,0.9199999999999997,True,True
square,4.799999999999999,200.0,50.0,0.9599999999999994,True,True
triangle,1.0,200.0,50.0,0.100001,True,False
triangle,1.2,200.0,50.0,0.12000120000000002,True,False
triangle,1.4,200.0,50.0,0.14000139999999997,True,False
triangle,1.5999999999999999,200.0,50.0,0.16000159999999994,True,False
triangle,1.7999999999999998,200.0,50.0,0.18000179999999996,True,False
triangle,1.9999999999999998,200.0,50.0,0.200002,True,True
triangle,2.1999999999999997,200.0,50.0,0.22000220000000004,True,True
triangle,2.3999999999999995,200.0,50.0,0.2400024,True,True
triangle,2.5999999999999996,200.0,50.0,0.2600026,True,True
triangle,2.8,200.0,50.0,0.28000279999999994,True,True
triangle,2.9999999999999996,200.0,50.0,0.3000029999999999,True,True
triangle,3.1999999999999993,200.0,50.0,0.3200031999999998,True,True
triangle,3.3999999999999995,200.0,50.0,0.3400034,True,True
triangle,3.5999999999999996,200.0,50.0,0.3600035999999999,True,True
triangle,3.7999999999999994,200.0,50.0,0.3800037999999999,True,True
triangle,3.999999999999999,200.0,50.0,0.4000039999999999,True,True
triangle,4.199999999999999,200.0,50.0,0.42000419999999994,True,True
triangle,4.3999999999999995,200.0,50.0,0.4400044000000001,True,True
triangle,4.6,200.0,50.0,0.4600046000000001,True,True
triangle,4.799999999999999,200.0,50.0,0.4800048,True,True
biphasic,1.0,200.0,50.0,0.2,True,False
biphasic,1.2,200.0,50.0,0.23999999999999988,True,False
biphasic,1.4,200.0,50.0,0.27999999999999986,True,False
biphasic,1.5999999999999999,200.0,50.0,0.3200000000000001,True,False
biphasic,1.7999999999999998,200.0,50.0,0.35999999999999993,True,False
biphasic,1.9999999999999998,200.0,50.0,0.39999999999999997,True,False
biphasic,2.1999999999999997,200.0,50.0,0.4400000000000001,True,False
biphasic,2.3999999999999995,200.0,50.0,0.47999999999999976,True,True
biphasic,2.5999999999999996,200.0,50.0,0.5200000000000002,True,True
biphasic,2.8,200.0,50.0,0.5599999999999997,True,True
biphasic,2.9999999999999996,200.0,50.0,0.5999999999999999,True,True
biphasic,3.1999999999999993,200.0,50.0,0.6400000000000002,True,True
biphasic,3.3999999999999995,200.0,50.0,0.68,True,True
biphasic,3.5999999999999996,200.0,50.0,0.7199999999999999,True,True
biphasic,3.7999999999999994,200.0,50.0,0.7599999999999996,True,True
biphasic,3.999999999999999,200.0,50.0,0.7999999999999999,True,True
biphasic,4.199999999999999,200.0,50.0,0.8400000000000004,True,True
biphasic,4.3999999999999995,200.0,50.0,0.8800000000000002,True,True
biphasic,4.6,200.0,50.0,0.9199999999999997,True,True
biphasic,4.799999999999999,200.0,50.0,0.9599999999999995,True,True
